region_code,year,median_income,average_income,region
LD01,2011JJ00,6.5,9.7,North Netherlands
LD01,2012JJ00,6.4,9.5,North Netherlands
LD01,2013JJ00,6.3,9.3,North Netherlands
LD01,2014JJ00,6.2,9.2,North Netherlands
LD01,2015JJ00,6.3,9.3,North Netherlands
LD01,2016JJ00,6.3,9.5,North Netherlands
LD01,2017JJ00,6.4,9.8,North Netherlands
LD01,2018JJ00,6.7,10.3,North Netherlands
LD01,2019JJ00,7,10.9,North Netherlands
LD01,2020JJ00,7.6,11.6,North Netherlands
LD01,2021JJ00,8.2,12.3,North Netherlands
LD01,2022JJ00,9,13.4,North Netherlands
LD01,2023JJ00,10.5,14.9,North Netherlands
LD01,2024JJ00,12.4,16.6,North Netherlands
LD02,2011JJ00,7,10.6,East Netherlands
LD02,2012JJ00,6.8,10.4,East Netherlands
LD02,2013JJ00,6.6,10.1,East Netherlands
LD02,2014JJ00,6.4,10,East Netherlands
LD02,2015JJ00,6.6,10.1,East Netherlands
LD02,2016JJ00,6.5,10.2,East Netherlands
LD02,2017JJ00,6.7,10.5,East Netherlands
LD02,2018JJ00,6.9,11.1,East Netherlands
LD02,2019JJ00,7.3,11.6,East Netherlands
LD02,2020JJ00,7.8,12.3,East Netherlands
LD02,2021JJ00,8.5,13,East Netherlands
LD02,2022JJ00,9.3,14.2,East Netherlands
LD02,2023JJ00,10.8,15.7,East Netherlands
LD02,2024JJ00,12.7,17.4,East Netherlands
LD03,2011JJ00,7.1,10.8,West Netherlands
LD03,2012JJ00,6.9,10.6,West Netherlands
LD03,2013JJ00,6.6,10.4,West Netherlands
LD03,2014JJ00,6.6,10.3,West Netherlands
LD03,2015JJ00,6.7,10.4,West Netherlands
LD03,2016JJ00,6.7,10.5,West Netherlands
LD03,2017JJ00,6.9,10.9,West Netherlands
LD03,2018JJ00,7.1,11.4,West Netherlands
LD03,2019JJ00,7.4,12,West Netherlands
LD03,2020JJ00,7.8,12.5,West Netherlands
LD03,2021JJ00,8.3,13,West Netherlands
LD03,2022JJ00,9.1,14.1,West Netherlands
LD03,2023JJ00,10.4,15.5,West Netherlands
LD03,2024JJ00,12,17,West Netherlands
LD04,2011JJ00,6.8,10.5,South Netherlands
LD04,2012JJ00,6.7,10.3,South Netherlands
LD04,2013JJ00,6.5,10.2,South Netherlands
LD04,2014JJ00,6.5,10.1,South Netherlands
LD04,2015JJ00,6.7,10.3,South Netherlands
LD04,2016JJ00,6.7,10.5,South Netherlands
LD04,2017JJ00,7,10.9,South Netherlands
LD04,2018JJ00,7.3,11.5,South Netherlands
LD04,2019JJ00,7.7,12.1,South Netherlands
LD04,2020JJ00,8.1,12.6,South Netherlands
LD04,2021JJ00,8.7,13.3,South Netherlands
LD04,2022JJ00,9.7,14.5,South Netherlands
LD04,2023JJ00,11.2,16,South Netherlands
LD04,2024JJ00,13,17.6,South Netherlands
PV20,2011JJ00,6.3,9.1,Groningen
PV20,2012JJ00,6.2,9,Groningen
PV20,2013JJ00,6.2,8.9,Groningen
PV20,2014JJ00,6.1,8.8,Groningen
PV20,2015JJ00,6.2,9,Groningen
PV20,2016JJ00,6.2,9.1,Groningen
PV20,2017JJ00,6.3,9.4,Groningen
PV20,2018JJ00,6.5,9.9,Groningen
PV20,2019JJ00,6.8,10.4,Groningen
PV20,2020JJ00,7.3,11,Groningen
PV20,2021JJ00,7.9,11.8,Groningen
PV20,2022JJ00,8.4,12.5,Groningen
PV20,2023JJ00,9.8,14,Groningen
PV20,2024JJ00,11.9,15.7,Groningen
PV21,2011JJ00,6.9,10.1,Friesland
PV21,2012JJ00,6.7,9.9,Friesland
PV21,2013JJ00,6.5,9.7,Friesland
PV21,2014JJ00,6.5,9.6,Friesland
PV21,2015JJ00,6.6,9.7,Friesland
PV21,2016JJ00,6.6,9.9,Friesland
PV21,2017JJ00,6.7,10.2,Friesland
PV21,2018JJ00,7,10.7,Friesland
PV21,2019JJ00,7.4,11.3,Friesland
PV21,2020JJ00,7.9,12,Friesland
PV21,2021JJ00,8.6,12.6,Friesland
PV21,2022JJ00,9.5,13.8,Friesland
PV21,2023JJ00,10.9,15.3,Friesland
PV21,2024JJ00,12.8,17,Friesland
PV22,2011JJ00,6.4,9.9,Drenthe
PV22,2012JJ00,6.2,9.6,Drenthe
PV22,2013JJ00,6,9.4,Drenthe
PV22,2014JJ00,5.9,9.3,Drenthe
PV22,2015JJ00,6,9.4,Drenthe
PV22,2016JJ00,5.8,9.5,Drenthe
PV22,2017JJ00,6,9.8,Drenthe
PV22,2018JJ00,6.4,10.4,Drenthe
PV22,2019JJ00,7,11.1,Drenthe
PV22,2020JJ00,7.6,11.8,Drenthe
PV22,2021JJ00,8.4,12.7,Drenthe
PV22,2022JJ00,9.4,14,Drenthe
PV22,2023JJ00,11.1,15.6,Drenthe
PV22,2024JJ00,12.8,17.4,Drenthe
PV23,2011JJ00,7.2,10.7,Overijssel
PV23,2012JJ00,7,10.4,Overijssel
PV23,2013JJ00,6.7,10.1,Overijssel
PV23,2014JJ00,6.5,10,Overijssel
PV23,2015JJ00,6.6,10,Overijssel
PV23,2016JJ00,6.5,10.2,Overijssel
PV23,2017JJ00,6.7,10.5,Overijssel
PV23,2018JJ00,7,11,Overijssel
PV23,2019JJ00,7.4,11.5,Overijssel
PV23,2020JJ00,7.9,12.1,Overijssel
PV23,2021JJ00,8.5,12.9,Overijssel
PV23,2022JJ00,9.4,14,Overijssel
PV23,2023JJ00,10.9,15.5,Overijssel
PV23,2024JJ00,12.9,17.4,Overijssel
PV24,2011JJ00,7.2,10.7,Flevoland
PV24,2012JJ00,6.9,10.5,Flevoland
PV24,2013JJ00,6.5,10.1,Flevoland
PV24,2014JJ00,6.4,9.9,Flevoland
PV24,2015JJ00,6.5,10,Flevoland
PV24,2016JJ00,6.5,10.2,Flevoland
PV24,2017JJ00,6.7,10.4,Flevoland
PV24,2018JJ00,7.1,11,Flevoland
PV24,2019JJ00,7.6,11.7,Flevoland
PV24,2020JJ00,7.9,12.2,Flevoland
PV24,2021JJ00,8.7,13,Flevoland
PV24,2022JJ00,9.7,14.3,Flevoland
PV24,2023JJ00,11.1,15.7,Flevoland
PV24,2024JJ00,12.8,17.4,Flevoland
PV25,2011JJ00,6.9,10.6,Gelderland
PV25,2012JJ00,6.7,10.4,Gelderland
PV25,2013JJ00,6.5,10.1,Gelderland
PV25,2014JJ00,6.4,10,Gelderland
PV25,2015JJ00,6.6,10.2,Gelderland
PV25,2016JJ00,6.5,10.3,Gelderland
PV25,2017JJ00,6.6,10.6,Gelderland
PV25,2018JJ00,6.9,11.1,Gelderland
PV25,2019JJ00,7.2,11.7,Gelderland
PV25,2020JJ00,7.8,12.4,Gelderland
PV25,2021JJ00,8.4,13.1,Gelderland
PV25,2022JJ00,9.3,14.2,Gelderland
PV25,2023JJ00,10.7,15.7,Gelderland
PV25,2024JJ00,12.7,17.4,Gelderland
PV26,2011JJ00,6.9,10.6,Utrecht
PV26,2012JJ00,6.7,10.4,Utrecht
PV26,2013JJ00,6.4,10.1,Utrecht
PV26,2014JJ00,6.4,9.9,Utrecht
PV26,2015JJ00,6.5,10.1,Utrecht
PV26,2016JJ00,6.4,10.2,Utrecht
PV26,2017JJ00,6.4,10.4,Utrecht
PV26,2018JJ00,6.6,10.9,Utrecht
PV26,2019JJ00,6.8,11.4,Utrecht
PV26,2020JJ00,7.2,12,Utrecht
PV26,2021JJ00,7.7,12.5,Utrecht
PV26,2022JJ00,8.3,13.5,Utrecht
PV26,2023JJ00,9.6,14.8,Utrecht
PV26,2024JJ00,11.4,16.4,Utrecht
PV27,2011JJ00,7.1,10.6,North Holland
PV27,2012JJ00,7,10.5,North Holland
PV27,2013JJ00,6.8,10.3,North Holland
PV27,2014JJ00,6.7,10.2,North Holland
PV27,2015JJ00,7,10.4,North Holland
PV27,2016JJ00,7,10.6,North Holland
PV27,2017JJ00,7.1,10.9,North Holland
PV27,2018JJ00,7.3,11.4,North Holland
PV27,2019JJ00,7.6,12,North Holland
PV27,2020JJ00,7.8,12.4,North Holland
PV27,2021JJ00,8.3,12.9,North Holland
PV27,2022JJ00,9.3,14.1,North Holland
PV27,2023JJ00,10.5,15.5,North Holland
PV27,2024JJ00,12.2,17,North Holland
PV28,2011JJ00,7.1,11,South Holland
PV28,2012JJ00,6.9,10.7,South Holland
PV28,2013JJ00,6.6,10.5,South Holland
PV28,2014JJ00,6.5,10.3,South Holland
PV28,2015JJ00,6.6,10.4,South Holland
PV28,2016JJ00,6.6,10.5,South Holland
PV28,2017JJ00,6.8,10.9,South Holland
PV28,2018JJ00,7.1,11.4,South Holland
PV28,2019JJ00,7.4,12,South Holland
PV28,2020JJ00,7.8,12.5,South Holland
PV28,2021JJ00,8.3,13.1,South Holland
PV28,2022JJ00,9.1,14.1,South Holland
PV28,2023JJ00,10.3,15.5,South Holland
PV28,2024JJ00,11.9,17,South Holland
PV29,2011JJ00,7.7,11.8,Zeeland
PV29,2012JJ00,7.6,11.7,Zeeland
PV29,2013JJ00,7.4,11.6,Zeeland
PV29,2014JJ00,7.4,11.6,Zeeland
PV29,2015JJ00,7.5,11.6,Zeeland
PV29,2016JJ00,7.5,11.7,Zeeland
PV29,2017JJ00,7.8,12,Zeeland
PV29,2018JJ00,8.2,12.7,Zeeland
PV29,2019JJ00,8.9,13.5,Zeeland
PV29,2020JJ00,9.6,14.3,Zeeland
PV29,2021JJ00,10.3,15.1,Zeeland
PV29,2022JJ00,11.6,16.4,Zeeland
PV29,2023JJ00,13,18,Zeeland
PV29,2024JJ00,15,19.7,Zeeland
PV30,2011JJ00,7,10.7,North Brabant
PV30,2012JJ00,6.8,10.5,North Brabant
PV30,2013JJ00,6.7,10.4,North Brabant
PV30,2014JJ00,6.7,10.3,North Brabant
PV30,2015JJ00,6.8,10.4,North Brabant
PV30,2016JJ00,6.8,10.6,North Brabant
PV30,2017JJ00,7.1,11,North Brabant
PV30,2018JJ00,7.4,11.6,North Brabant
PV30,2019JJ00,7.8,12.2,North Brabant
PV30,2020JJ00,8.3,12.8,North Brabant
PV30,2021JJ00,8.8,13.5,North Brabant
PV30,2022JJ00,9.8,14.7,North Brabant
PV30,2023JJ00,11.4,16.2,North Brabant
PV30,2024JJ00,13.1,17.9,North Brabant
PV31,2011JJ00,6.4,9.9,Limburg
PV31,2012JJ00,6.4,9.8,Limburg
PV31,2013JJ00,6.3,9.7,Limburg
PV31,2014JJ00,6.3,9.7,Limburg
PV31,2015JJ00,6.4,9.8,Limburg
PV31,2016JJ00,6.5,10,Limburg
PV31,2017JJ00,6.7,10.5,Limburg
PV31,2018JJ00,7,11.1,Limburg
PV31,2019JJ00,7.4,11.6,Limburg
PV31,2020JJ00,7.8,12.1,Limburg
PV31,2021JJ00,8.3,12.7,Limburg
PV31,2022JJ00,9.3,13.9,Limburg
PV31,2023JJ00,10.8,15.4,Limburg
PV31,2024JJ00,12.5,17,Limburg
GM0363,2011JJ00,7.1,10.1,Amsterdam
GM0363,2012JJ00,7,10.1,Amsterdam
GM0363,2013JJ00,6.9,9.9,Amsterdam
GM0363,2014JJ00,7,10,Amsterdam
GM0363,2015JJ00,7.4,10.4,Amsterdam
GM0363,2016JJ00,7.5,10.7,Amsterdam
GM0363,2017JJ00,7.7,11.2,Amsterdam
GM0363,2018JJ00,8,11.9,Amsterdam
GM0363,2019JJ00,8.3,12.5,Amsterdam
GM0363,2020JJ00,8.3,12.9,Amsterdam
GM0363,2021JJ00,8.8,13.4,Amsterdam
GM0363,2022JJ00,9.6,14.4,Amsterdam
GM0363,2023JJ00,10.8,15.7,Amsterdam
GM0363,2024JJ00,12.4,17.1,Amsterdam
LD01,2011JJ00,6.9,10.6,North Netherlands
LD01,2012JJ00,6.6,10.3,North Netherlands
LD01,2013JJ00,6.4,10,North Netherlands
LD01,2014JJ00,6.3,10,North Netherlands
LD01,2015JJ00,6.5,10.1,North Netherlands
LD01,2016JJ00,6.5,10.3,North Netherlands
LD01,2017JJ00,6.7,10.7,North Netherlands
LD01,2018JJ00,7.2,11.4,North Netherlands
LD01,2019JJ00,7.7,12,North Netherlands
LD01,2020JJ00,8.3,12.8,North Netherlands
LD01,2021JJ00,9,13.6,North Netherlands
LD01,2022JJ00,9.9,14.7,North Netherlands
LD01,2023JJ00,11.5,16.4,North Netherlands
LD01,2024JJ00,13.3,18.1,North Netherlands
LD02,2011JJ00,7.5,11.6,East Netherlands
LD02,2012JJ00,7.2,11.3,East Netherlands
LD02,2013JJ00,6.9,10.9,East Netherlands
LD02,2014JJ00,6.7,10.8,East Netherlands
LD02,2015JJ00,6.9,11,East Netherlands
LD02,2016JJ00,6.9,11.2,East Netherlands
LD02,2017JJ00,7.1,11.5,East Netherlands
LD02,2018JJ00,7.5,12.1,East Netherlands
LD02,2019JJ00,8,12.8,East Netherlands
LD02,2020JJ00,8.5,13.5,East Netherlands
LD02,2021JJ00,9.3,14.3,East Netherlands
LD02,2022JJ00,10.3,15.6,East Netherlands
LD02,2023JJ00,12,17.2,East Netherlands
LD02,2024JJ00,13.9,19,East Netherlands
LD03,2011JJ00,7.3,11.6,West Netherlands
LD03,2012JJ00,7,11.3,West Netherlands
LD03,2013JJ00,6.7,11,West Netherlands
LD03,2014JJ00,6.7,11,West Netherlands
LD03,2015JJ00,6.8,11.2,West Netherlands
LD03,2016JJ00,6.9,11.3,West Netherlands
LD03,2017JJ00,7.1,11.7,West Netherlands
LD03,2018JJ00,7.4,12.3,West Netherlands
LD03,2019JJ00,7.8,12.9,West Netherlands
LD03,2020JJ00,8.1,13.4,West Netherlands
LD03,2021JJ00,8.6,14,West Netherlands
LD03,2022JJ00,9.5,15.2,West Netherlands
LD03,2023JJ00,10.9,16.6,West Netherlands
LD03,2024JJ00,12.5,18.2,West Netherlands
LD04,2011JJ00,7.2,11.2,South Netherlands
LD04,2012JJ00,7,11,South Netherlands
LD04,2013JJ00,6.8,10.9,South Netherlands
LD04,2014JJ00,6.7,10.8,South Netherlands
LD04,2015JJ00,6.9,11,South Netherlands
LD04,2016JJ00,7,11.3,South Netherlands
LD04,2017JJ00,7.4,11.8,South Netherlands
LD04,2018JJ00,7.8,12.4,South Netherlands
LD04,2019JJ00,8.2,13.1,South Netherlands
LD04,2020JJ00,8.7,13.6,South Netherlands
LD04,2021JJ00,9.3,14.4,South Netherlands
LD04,2022JJ00,10.4,15.7,South Netherlands
LD04,2023JJ00,12.1,17.3,South Netherlands
LD04,2024JJ00,13.7,18.9,South Netherlands
PV20,2011JJ00,6.3,9.8,Groningen
PV20,2012JJ00,6.2,9.5,Groningen
PV20,2013JJ00,6.1,9.3,Groningen
PV20,2014JJ00,6,9.2,Groningen
PV20,2015JJ00,6.2,9.4,Groningen
PV20,2016JJ00,6.2,9.6,Groningen
PV20,2017JJ00,6.3,10,Groningen
PV20,2018JJ00,6.7,10.6,Groningen
PV20,2019JJ00,7.1,11.2,Groningen
PV20,2020JJ00,7.7,11.9,Groningen
PV20,2021JJ00,8.3,12.7,Groningen
PV20,2022JJ00,8.8,13.5,Groningen
PV20,2023JJ00,10.4,15.1,Groningen
PV20,2024JJ00,12.2,16.7,Groningen
PV21,2011JJ00,7.5,11.3,Friesland
PV21,2012JJ00,7.2,10.9,Friesland
PV21,2013JJ00,6.9,10.7,Friesland
PV21,2014JJ00,6.8,10.6,Friesland
PV21,2015JJ00,6.9,10.7,Friesland
PV21,2016JJ00,7,11,Friesland
PV21,2017JJ00,7.2,11.4,Friesland
PV21,2018JJ00,7.7,12,Friesland
PV21,2019JJ00,8.1,12.6,Friesland
PV21,2020JJ00,8.7,13.3,Friesland
PV21,2021JJ00,9.4,14,Friesland
PV21,2022JJ00,10.5,15.4,Friesland
PV21,2023JJ00,12.2,17,Friesland
PV21,2024JJ00,14.1,18.8,Friesland
PV22,2011JJ00,7.1,10.9,Drenthe
PV22,2012JJ00,6.7,10.5,Drenthe
PV22,2013JJ00,6.4,10.2,Drenthe
PV22,2014JJ00,6.1,10.1,Drenthe
PV22,2015JJ00,6.3,10.3,Drenthe
PV22,2016JJ00,6.2,10.4,Drenthe
PV22,2017JJ00,6.5,10.9,Drenthe
PV22,2018JJ00,7.2,11.6,Drenthe
PV22,2019JJ00,7.9,12.5,Drenthe
PV22,2020JJ00,8.6,13.3,Drenthe
PV22,2021JJ00,9.5,14.2,Drenthe
PV22,2022JJ00,10.8,15.6,Drenthe
PV22,2023JJ00,12.4,17.2,Drenthe
PV22,2024JJ00,14.3,19.1,Drenthe
PV23,2011JJ00,7.7,11.6,Overijssel
PV23,2012JJ00,7.4,11.2,Overijssel
PV23,2013JJ00,7,10.9,Overijssel
PV23,2014JJ00,6.8,10.8,Overijssel
PV23,2015JJ00,6.9,10.9,Overijssel
PV23,2016JJ00,6.8,11,Overijssel
PV23,2017JJ00,7.1,11.3,Overijssel
PV23,2018JJ00,7.6,12,Overijssel
PV23,2019JJ00,8,12.5,Overijssel
PV23,2020JJ00,8.5,13.2,Overijssel
PV23,2021JJ00,9.2,14,Overijssel
PV23,2022JJ00,10.3,15.3,Overijssel
PV23,2023JJ00,12.1,17,Overijssel
PV23,2024JJ00,14.1,18.9,Overijssel
PV24,2011JJ00,7.5,11.6,Flevoland
